Title,Movie Link,Year,Duration,MPA,Rating,Votes,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,directors,writers,stars,genres,countries_origin,filming_locations,production_companies,Languages,wins,nominations,oscars,release_date
The Ice Pirates,https://www.imdb.com/title/tt0087451/?ref_=sr_t_62,1984,1h 34m,PG,5.6,12K,9000000.0,14255801.0,14255801.0,4358022.0,['Stewart Raffill'],"['Stewart Raffill', 'Stanford Sherman']","['Robert Urich', 'Mary Crosby', 'Michael D. Roberts']","['Dark Comedy', 'Parody', 'Slapstick', 'Space Sci-Fi', 'Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi']",['United States'],"['Vernon, California, USA']","['Metro-Goldwyn-Mayer (MGM)', 'JF Productions']",['English'],0,0,0,1984.0
The Evil That Men Do,https://www.imdb.com/title/tt0087222/?ref_=sr_t_63,1984,1h 30m,R,5.9,4.9K,4600000.0,13102025.0,13102025.0,4538400.0,['J. Lee Thompson'],"['R. Lance Hill', 'John Crowther', 'Fred A. Wyler']","['Charles Bronson', 'Theresa Saldana', 'Joseph Maher']","['Action', 'Drama', 'Thriller']","['Mexico', 'United States', 'United Kingdom']","['Guadalajara, Jalisco, Mexico']","['Capricorn', 'Capricorn Company', 'ITC Entertainment']",['English'],0,0,0,1984.0
Irreconcilable Differences,https://www.imdb.com/title/tt0087482/?ref_=sr_t_64,1984,1h 53m,PG,5.8,3.5K,6000000.0,12414210.0,12414210.0,3076894.0,['Charles Shyer'],"['Nancy Meyers', 'Charles Shyer']","[""Ryan O'Neal"", 'Shelley Long', 'Drew Barrymore']","['Comedy', 'Drama', 'Romance']",['United States'],"['Los Angeles, California, USA']","['Warner Bros.', 'Lantana']","['English', 'Spanish', 'French']",0,0,0,1984.0
Dreamscape,https://www.imdb.com/title/tt0087175/?ref_=sr_t_65,1984,1h 39m,R,6.3,19K,,12145169.0,12145169.0,2257627.0,['Joseph Ruben'],"['David Loughery', 'Chuck Russell', 'Joseph Ruben']","['Dennis Quaid', 'Max von Sydow', 'Christopher Plummer']","['B-Action', 'B-Horror', 'Political Thriller', 'Psychological Thriller', 'Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",['United States'],"['Stockton, California, USA']","['Zupnik-Curtis Enterprises', 'Bella Productions', 'Chevy Chase Films']",['English'],0,2,0,1984.0
Up the Creek,https://www.imdb.com/title/tt0088333/?ref_=sr_t_66,1984,1h 36m,R,5.5,4.1K,,11708269.0,11708269.0,3210882.0,['Robert Butler'],"['Jim Kouf', 'Jeff Sherman', 'Douglas Grossman']","['Tim Matheson', 'Jennifer Runyon', 'Stephen Furst']",['Comedy'],['United States'],"['Bend, Oregon, USA']",['Orion Pictures'],['English'],0,0,0,1984.0
The River,https://www.imdb.com/title/tt0088007/?ref_=sr_t_67,1984,2h 4m,PG-13,6.3,8.1K,18000000.0,11489982.0,11489982.0,30027.0,['Mark Rydell'],"['Robert Dillon', 'Julian Barry']","['Mel Gibson', 'Sissy Spacek', 'Shane Bailey']",['Drama'],['United States'],"['Gate City, Virginia, USA']",['Universal Pictures'],['English'],0,6,4,1984.0
Tank,https://www.imdb.com/title/tt0088224/?ref_=sr_t_68,1984,1h 53m,PG,5.8,4.8K,,11302884.0,11302884.0,4035960.0,['Marvin J. Chomsky'],['Dan Gordon'],"['James Garner', 'Shirley Jones', 'C. Thomas Howell']","['Action', 'Comedy', 'Drama']",['United States'],"['Fort Benning, Georgia, USA']","['Lorimar Film Entertainment', 'Universal Productions']",['English'],0,0,0,1984.0
Falling in Love,https://www.imdb.com/title/tt0087233/?ref_=sr_t_69,1984,1h 46m,PG-13,6.5,16K,12000000.0,11129057.0,11129057.0,2293710.0,['Ulu Grosbard'],['Michael Cristofer'],"['Robert De Niro', 'Meryl Streep', 'Harvey Keitel']","['Drama', 'Romance']",['United States'],"['Rizzoli Bookstore - 712 5th Avenue and East 56th Street, Manhattan, New York City, New York, USA']",['Paramount Pictures'],['English'],0,3,0,1984.0
Hard to Hold,https://www.imdb.com/title/tt0087384/?ref_=sr_t_70,1984,1h 33m,PG,4.9,820,8000000.0,11113806.0,11113806.0,3410001.0,['Larry Peerce'],"['Thomas Hedley Jr.', 'Richard Rothstein']","['Rick Springfield', 'Janet Eilber', 'Patti Hansen']","['Comedy', 'Drama', 'Music', 'Romance']",['United States'],"['Nob Hill, San Francisco, California, USA']",['Universal Pictures'],['English'],0,0,0,1984.0
The Wild Life,https://www.imdb.com/title/tt0088402/?ref_=sr_t_71,1984,1h 36m,R,6.0,3.3K,,11020375.0,11020375.0,4001400.0,['Art Linson'],['Cameron Crowe'],"['Chris Penn', 'Ilan Mitchell-Smith', 'Eric Stoltz']","['Comedy', 'Drama']",['United States'],"['Torrance High School - 2200 W. Carson Street, Torrance, California, USA']",['Universal Pictures'],['English'],0,0,0,1984.0
